id,file_name,original_attribute,origin_score,unmatch_attribute,unmatch_score
41817,CMIC-111k/CT/Brain/103__34_.jpg,CT and Brain,35.36316680908203,Ultrasound and Breast,15.984380722045898
41818,CMIC-111k/CT/Brain/69__13_.jpg,CT and Brain,29.84088706970215,Xray and Skeleton,16.215576171875
41819,CMIC-111k/CT/Brain/100__23_.jpg,CT and Brain,35.999515533447266,Xray and Skeleton,15.697839736938477
41820,CMIC-111k/CT/Brain/105__30_.jpg,CT and Brain,30.37471580505371,Endoscopy and Gastroent,20.384170532226562
41821,CMIC-111k/CT/Brain/86__26_.jpg,CT and Brain,38.28782653808594,Xray and Dental,21.702476501464844
41822,CMIC-111k/CT/Brain/109__25_.jpg,CT and Brain,38.41347122192383,Xray and Dental,14.42429256439209
41823,CMIC-111k/CT/Brain/70__48_.jpg,CT and Brain,25.670181274414062,OCT and Retina,15.868900299072266
41824,CMIC-111k/CT/Brain/87__33_.jpg,CT and Brain,38.13520050048828,CT and Chest,25.447872161865234
41825,CMIC-111k/CT/Brain/130__7_.jpg,CT and Brain,34.10610580444336,Xray and Dental,18.109167098999023
41826,CMIC-111k/CT/Brain/76__2_.jpg,CT and Brain,24.02067756652832,Fundus and Retina,10.33936882019043
41827,CMIC-111k/CT/Brain/112__17_.jpg,CT and Brain,39.677425384521484,OCT and Retina,19.78976821899414
41828,CMIC-111k/CT/Brain/96__13_.jpg,CT and Brain,32.16163635253906,Ultrasound and Brain,22.911876678466797
41829,CMIC-111k/CT/Brain/103__29_.jpg,CT and Brain,38.686973571777344,Ultrasound and Brain,30.065418243408203
41830,CMIC-111k/CT/Brain/114__19_.jpg,CT and Brain,37.84904479980469,Ultrasound and Breast,15.676521301269531
41831,CMIC-111k/CT/Brain/66__1_.jpg,CT and Brain,21.342960357666016,Ultrasound and Brain,13.482662200927734
41832,CMIC-111k/CT/Brain/56__13_.jpg,CT and Brain,31.976627349853516,MRI and Brain,25.304359436035156
41833,CMIC-111k/CT/Brain/54__26_.jpg,CT and Brain,29.443788528442383,Ultrasound and Brain,22.657958984375
41834,CMIC-111k/CT/Brain/126__25_.jpg,CT and Brain,36.07246398925781,Fundus and Retina,21.20720672607422
41835,CMIC-111k/CT/Brain/123__37_.jpg,CT and Brain,36.81092071533203,Ultrasound and Ovary,10.852840423583984
41836,CMIC-111k/CT/Brain/112__3_.jpg,CT and Brain,32.391395568847656,Xray and Skeleton,15.918819427490234
41837,CMIC-111k/CT/Brain/70__31_.jpg,CT and Brain,36.657814025878906,Xray and Dental,18.705663681030273
41838,CMIC-111k/CT/Brain/96__31_.jpg,CT and Brain,38.40985870361328,MRI and Brain,30.369062423706055
41839,CMIC-111k/CT/Brain/93__16_.jpg,CT and Brain,35.12430953979492,CT and Heart,23.393138885498047
41840,CMIC-111k/CT/Brain/88__34_.jpg,CT and Brain,37.40340042114258,Xray and Skeleton,22.328582763671875
41841,CMIC-111k/CT/Brain/63__13_.jpg,CT and Brain,34.25619125366211,CT and Chest,25.14337921142578
41842,CMIC-111k/CT/Brain/69__35_.jpg,CT and Brain,36.63431167602539,MRI and Alzheimer,25.29163932800293
41843,CMIC-111k/CT/Brain/60__6_.jpg,CT and Brain,25.897113800048828,Dermoscopy and Skin,17.887998580932617
41844,CMIC-111k/CT/Brain/103__16_.jpg,CT and Brain,33.995479583740234,CT and Heart,21.35521697998047
41845,CMIC-111k/CT/Brain/82__31_.jpg,CT and Brain,38.028480529785156,Dermoscopy and Skin,15.27498722076416
41846,CMIC-111k/CT/Brain/130__18_.jpg,CT and Brain,37.25142288208008,Ultrasound and Ovary,11.527664184570312
41847,CMIC-111k/CT/Brain/90__22_.jpg,CT and Brain,39.63191223144531,Xray and Chest,18.08841323852539
41848,CMIC-111k/CT/Brain/90__26_.jpg,CT and Brain,38.17451858520508,Ultrasound and Baby,20.979907989501953
