id,file_name,original_attribute,origin_score,unmatch_attribute,unmatch_score
21253,CMIC-111k/Mamography/Breast/mdb290__23_.png,Mamography and Breast,31.172082901000977,Endoscopy and Gastroent,11.588377952575684
21254,CMIC-111k/Mamography/Breast/D1_C_0164_1.LEFT_CC.png,Mamography and Breast,34.12968444824219,Ultrasound and Breast,26.06539535522461
21255,CMIC-111k/Mamography/Breast/D3_A_1442_1.LEFT_MLO__3_.png,Mamography and Breast,22.148460388183594,Xray and Dental,20.053817749023438
21256,CMIC-111k/Mamography/Breast/D2_C_0270_1.RIGHT_CC.png,Mamography and Breast,28.751283645629883,MRI and Alzheimer,10.50239372253418
21257,CMIC-111k/Mamography/Breast/D2_A_1476_1.LEFT_CC__5_.png,Mamography and Breast,33.312496185302734,OCT and Retina,25.112369537353516
21258,CMIC-111k/Mamography/Breast/D2_C_0049_1.LEFT_CC__4_.png,Mamography and Breast,32.617271423339844,Xray and Skeleton,21.14582633972168
21259,CMIC-111k/Mamography/Breast/D2_A_1906_1.RIGHT_MLO__6_.png,Mamography and Breast,33.11930465698242,Ultrasound and Baby,17.06331443786621
21260,CMIC-111k/Mamography/Breast/D1_C_0387_1.RIGHT_MLO__5_.png,Mamography and Breast,22.198989868164062,MRI and Alzheimer,21.447219848632812
21261,CMIC-111k/Mamography/Breast/D4_A_1445_1.LEFT_CC__4_.png,Mamography and Breast,33.5688591003418,Endoscopy and Gastroent,13.04650592803955
21262,CMIC-111k/Mamography/Breast/mdb013__43_.png,Mamography and Breast,29.619583129882812,Ultrasound and Baby,16.28067398071289
21263,CMIC-111k/Mamography/Breast/D2_B_3158_1.LEFT_CC__4_.png,Mamography and Breast,29.195703506469727,CT and Chest,18.749408721923828
21264,CMIC-111k/Mamography/Breast/mdb198__3_.png,Mamography and Breast,24.527402877807617,Ultrasound and Baby,20.18227767944336
21265,CMIC-111k/Mamography/Breast/mdb028__18_.png,Mamography and Breast,32.20184326171875,CT and Brain,18.352333068847656
21266,CMIC-111k/Mamography/Breast/D3_A_1251_1.LEFT_CC.png,Mamography and Breast,38.94584655761719,OCT and Retina,19.9464111328125
21267,CMIC-111k/Mamography/Breast/D3_A_1065_1.LEFT_MLO__5_.png,Mamography and Breast,28.62246322631836,CT and Chest,18.637771606445312
21268,CMIC-111k/Mamography/Breast/D1_B_3102_1.RIGHT_CC__5_.png,Mamography and Breast,25.288347244262695,CT and Chest,14.088239669799805
21269,CMIC-111k/Mamography/Breast/D4_A_1388_1.RIGHT_MLO__4_.png,Mamography and Breast,31.151201248168945,CT and Chest,24.05978775024414
21270,CMIC-111k/Mamography/Breast/20587928__39_.png,Mamography and Breast,35.33984375,Ultrasound and Baby,17.668743133544922
21271,CMIC-111k/Mamography/Breast/mdb207__16_.png,Mamography and Breast,27.450969696044922,Ultrasound and Breast,25.31964111328125
21272,CMIC-111k/Mamography/Breast/D2_C_0074_1.RIGHT_MLO__4_.png,Mamography and Breast,31.965927124023438,Xray and Chest,25.593618392944336
21273,CMIC-111k/Mamography/Breast/53587014__63_.png,Mamography and Breast,33.05283737182617,Xray and Chest,18.68675994873047
21274,CMIC-111k/Mamography/Breast/mdb181__31_.png,Mamography and Breast,35.72460174560547,CT and Heart,24.239227294921875
21275,CMIC-111k/Mamography/Breast/30011507__66_.png,Mamography and Breast,30.918094635009766,CT and Brain,24.9258975982666
21276,CMIC-111k/Mamography/Breast/D3_B_3061_1.RIGHT_CC__5_.png,Mamography and Breast,25.83808135986328,Ultrasound and Baby,21.78481674194336
21277,CMIC-111k/Mamography/Breast/D4_C_0092_1.RIGHT_MLO.png,Mamography and Breast,35.459964752197266,Xray and Chest,24.632617950439453
21278,CMIC-111k/Mamography/Breast/22613702__65_.png,Mamography and Breast,26.59218978881836,Xray and Skeleton,24.24100685119629
21279,CMIC-111k/Mamography/Breast/mdb002__48_.png,Mamography and Breast,36.129852294921875,CT and Chest,20.712604522705078
21280,CMIC-111k/Mamography/Breast/D3_A_1587_1.LEFT_CC__3_.png,Mamography and Breast,17.64154815673828,Endoscopy and Gastroent,13.21464729309082
21281,CMIC-111k/Mamography/Breast/D1_A_1838_1.LEFT_CC__4_.png,Mamography and Breast,29.16855239868164,Xray and Skeleton,23.062671661376953
21282,CMIC-111k/Mamography/Breast/D3_A_1261_1.RIGHT_MLO__4_.png,Mamography and Breast,33.4916877746582,Xray and Dental,17.935794830322266
21283,CMIC-111k/Mamography/Breast/50994273__12_.png,Mamography and Breast,30.468637466430664,Ultrasound and Ovary,18.873308181762695
21284,CMIC-111k/Mamography/Breast/mdb141__53_.png,Mamography and Breast,32.154945373535156,Ultrasound and Baby,16.790130615234375
21285,CMIC-111k/Mamography/Breast/22614568__27_.png,Mamography and Breast,34.63406753540039,Xray and Dental,16.69983673095703
21286,CMIC-111k/Mamography/Breast/24055355__10_.png,Mamography and Breast,27.082319259643555,CT and Brain,29.1063232421875
21287,CMIC-111k/Mamography/Breast/20588680__66_.png,Mamography and Breast,28.147357940673828,Xray and Chest,16.508583068847656
21288,CMIC-111k/Mamography/Breast/D2_C_0510_1.RIGHT_MLO__6_.png,Mamography and Breast,32.211387634277344,Ultrasound and Breast,33.070064544677734
21289,CMIC-111k/Mamography/Breast/D2_A_1435_1.RIGHT_MLO__3_.png,Mamography and Breast,25.841812133789062,MRI and Alzheimer,21.994823455810547
21290,CMIC-111k/Mamography/Breast/50994408__65_.png,Mamography and Breast,26.84527587890625,Ultrasound and Brain,21.308244705200195
21291,CMIC-111k/Mamography/Breast/22670511__65_.png,Mamography and Breast,33.67399597167969,CT and Heart,25.658946990966797
21292,CMIC-111k/Mamography/Breast/D2_A_1879_1.RIGHT_MLO__2_.png,Mamography and Breast,32.791446685791016,Xray and Skeleton,21.876354217529297
21293,CMIC-111k/Mamography/Breast/D2_B_3105_1.LEFT_MLO__3_.png,Mamography and Breast,29.36269187927246,OCT and Retina,25.065174102783203
21294,CMIC-111k/Mamography/Breast/D3_B_3073_1.RIGHT_CC__5_.png,Mamography and Breast,28.86622428894043,Ultrasound and Ovary,19.508872985839844
21295,CMIC-111k/Mamography/Breast/D3_B_3377_1.RIGHT_MLO__5_.png,Mamography and Breast,30.25665283203125,Ultrasound and Breast,30.389957427978516
21296,CMIC-111k/Mamography/Breast/D3_C_0064_1.RIGHT_CC__5_.png,Mamography and Breast,27.827585220336914,Ultrasound and Carotid,23.053247451782227
21297,CMIC-111k/Mamography/Breast/D2_B_3488_1.RIGHT_MLO__2_.png,Mamography and Breast,32.83696746826172,OCT and Retina,19.450742721557617
21298,CMIC-111k/Mamography/Breast/D2_B_3157_1.RIGHT_MLO__2_.png,Mamography and Breast,35.44154357910156,CT and Heart,25.418251037597656
21299,CMIC-111k/Mamography/Breast/22427705__44_.png,Mamography and Breast,26.339519500732422,Ultrasound and Baby,16.248355865478516
21300,CMIC-111k/Mamography/Breast/24065530__36_.png,Mamography and Breast,34.417850494384766,Xray and Skeleton,26.352108001708984
21301,CMIC-111k/Mamography/Breast/D3_D_4107_1.RIGHT_MLO__2_.png,Mamography and Breast,26.535907745361328,Ultrasound and Brain,20.206140518188477
21302,CMIC-111k/Mamography/Breast/53587014__34_.png,Mamography and Breast,31.385608673095703,Xray and Chest,19.467958450317383
21303,CMIC-111k/Mamography/Breast/22670855__17_.png,Mamography and Breast,22.960763931274414,Xray and Skeleton,16.83425521850586
21304,CMIC-111k/Mamography/Breast/22670855__21_.png,Mamography and Breast,28.253582000732422,Fundus and Retina,18.038957595825195
21305,CMIC-111k/Mamography/Breast/22580393__11_.png,Mamography and Breast,26.85577392578125,Xray and Dental,13.447470664978027
21306,CMIC-111k/Mamography/Breast/D3_B_3487_1.RIGHT_CC__3_.png,Mamography and Breast,20.277019500732422,Ultrasound and Ovary,23.427387237548828
21307,CMIC-111k/Mamography/Breast/D2_D_4027_1.RIGHT_MLO.png,Mamography and Breast,34.71184539794922,Dermoscopy and Skin,17.25004005432129
21308,CMIC-111k/Mamography/Breast/D2_C_0302_1.RIGHT_CC__5_.png,Mamography and Breast,22.649538040161133,Xray and Dental,22.68968963623047
21309,CMIC-111k/Mamography/Breast/22580341__4_.png,Mamography and Breast,32.73731994628906,OCT and Retina,17.669921875
21310,CMIC-111k/Mamography/Breast/D3_D_4172_1.RIGHT_MLO__4_.png,Mamography and Breast,34.35173034667969,Fundus and Retina,15.486268043518066
21311,CMIC-111k/Mamography/Breast/D2_C_0170_1.LEFT_CC.png,Mamography and Breast,29.633792877197266,OCT and Retina,12.050321578979492
21312,CMIC-111k/Mamography/Breast/D2_A_1908_1.RIGHT_CC.png,Mamography and Breast,33.21980285644531,Ultrasound and Baby,14.093672752380371
