id,file_name,original_attribute,origin_score,unmatch_attribute,unmatch_score
66509,CMIC-111k/Ultrasound/Breast/malignant__145_.png,Ultrasound and Breast,32.72937774658203,CT and Chest,14.430740356445312
66510,CMIC-111k/Ultrasound/Breast/malignant__200_.png,Ultrasound and Breast,34.753639221191406,Xray and Skeleton,13.829442977905273
66511,CMIC-111k/Ultrasound/Breast/malignant__162_.png,Ultrasound and Breast,34.59324645996094,Mamography and Breast,20.27700424194336
66512,CMIC-111k/Ultrasound/Breast/benign__207_.png,Ultrasound and Breast,36.04607391357422,Endoscopy and Gastroent,5.885207176208496
66513,CMIC-111k/Ultrasound/Breast/benign__386_.png,Ultrasound and Breast,38.391700744628906,MRI and Alzheimer,7.298989295959473
66514,CMIC-111k/Ultrasound/Breast/benign__17_.png,Ultrasound and Breast,32.340091705322266,Dermoscopy and Skin,16.96827507019043
66515,CMIC-111k/Ultrasound/Breast/benign__226_.png,Ultrasound and Breast,29.449552536010742,MRI and Alzheimer,4.3364434242248535
66516,CMIC-111k/Ultrasound/Breast/benign__216_.png,Ultrasound and Breast,31.734516143798828,CT and Chest,17.095481872558594
66517,CMIC-111k/Ultrasound/Breast/normal__116_.png,Ultrasound and Breast,38.0225944519043,Ultrasound and Ovary,27.071678161621094
66518,CMIC-111k/Ultrasound/Breast/malignant__114_.png,Ultrasound and Breast,31.211654663085938,Xray and Chest,7.939881801605225
66519,CMIC-111k/Ultrasound/Breast/benign__160_.png,Ultrasound and Breast,34.5741081237793,MRI and Brain,11.9276123046875
66520,CMIC-111k/Ultrasound/Breast/benign__95_.png,Ultrasound and Breast,35.54307556152344,Ultrasound and Ovary,26.062557220458984
66521,CMIC-111k/Ultrasound/Breast/malignant__20_.png,Ultrasound and Breast,32.76191711425781,CT and Chest,16.390195846557617
66522,CMIC-111k/Ultrasound/Breast/benign__154_.png,Ultrasound and Breast,38.02056121826172,MRI and Brain,15.210504531860352
66523,CMIC-111k/Ultrasound/Breast/benign__109_.png,Ultrasound and Breast,31.150001525878906,Xray and Chest,13.542722702026367
66524,CMIC-111k/Ultrasound/Breast/malignant__82_.png,Ultrasound and Breast,35.952964782714844,CT and Chest,22.563127517700195
66525,CMIC-111k/Ultrasound/Breast/benign__94_.png,Ultrasound and Breast,33.12000274658203,Endoscopy and Gastroent,10.270466804504395
66526,CMIC-111k/Ultrasound/Breast/benign__144_.png,Ultrasound and Breast,35.39423751831055,Endoscopy and Gastroent,9.003148078918457
66527,CMIC-111k/Ultrasound/Breast/benign__271_.png,Ultrasound and Breast,32.41563415527344,Ultrasound and Carotid,20.990345001220703
66528,CMIC-111k/Ultrasound/Breast/malignant__98_.png,Ultrasound and Breast,38.27044677734375,Xray and Chest,15.895262718200684
66529,CMIC-111k/Ultrasound/Breast/normal__87_.png,Ultrasound and Breast,36.8713493347168,Xray and Chest,18.669279098510742
66530,CMIC-111k/Ultrasound/Breast/benign__355_.png,Ultrasound and Breast,35.970680236816406,Ultrasound and Brain,22.928421020507812
66531,CMIC-111k/Ultrasound/Breast/benign__134_.png,Ultrasound and Breast,37.77200698852539,MRI and Brain,14.21195125579834
66532,CMIC-111k/Ultrasound/Breast/benign__298_.png,Ultrasound and Breast,32.993072509765625,MRI and Alzheimer,11.649852752685547
66533,CMIC-111k/Ultrasound/Breast/malignant__172_.png,Ultrasound and Breast,35.801876068115234,Mamography and Breast,22.851715087890625
66534,CMIC-111k/Ultrasound/Breast/benign__199_.png,Ultrasound and Breast,35.57947540283203,Endoscopy and Gastroent,6.128890514373779
66535,CMIC-111k/Ultrasound/Breast/benign__304_.png,Ultrasound and Breast,37.210670471191406,Ultrasound and Carotid,23.71114730834961
66536,CMIC-111k/Ultrasound/Breast/malignant__18_.png,Ultrasound and Breast,34.251197814941406,Dermoscopy and Skin,17.915672302246094
66537,CMIC-111k/Ultrasound/Breast/benign__285_.png,Ultrasound and Breast,30.18291473388672,Ultrasound and Ovary,31.518291473388672
66538,CMIC-111k/Ultrasound/Breast/benign__88_.png,Ultrasound and Breast,37.059471130371094,OCT and Retina,13.47618293762207
66539,CMIC-111k/Ultrasound/Breast/benign__3_.png,Ultrasound and Breast,35.072147369384766,Xray and Chest,14.865304946899414
66540,CMIC-111k/Ultrasound/Breast/benign__191_.png,Ultrasound and Breast,37.14936828613281,Mamography and Breast,21.275724411010742
66541,CMIC-111k/Ultrasound/Breast/benign__149_.png,Ultrasound and Breast,33.76300048828125,CT and Chest,17.249774932861328
66542,CMIC-111k/Ultrasound/Breast/benign__204_.png,Ultrasound and Breast,33.27129364013672,MRI and Brain,18.263992309570312
66543,CMIC-111k/Ultrasound/Breast/benign__71_.png,Ultrasound and Breast,35.77888488769531,Endoscopy and Gastroent,15.058141708374023
66544,CMIC-111k/Ultrasound/Breast/malignant__175_.png,Ultrasound and Breast,34.86432647705078,Ultrasound and Carotid,24.627601623535156
66545,CMIC-111k/Ultrasound/Breast/malignant__7_.png,Ultrasound and Breast,36.027828216552734,Ultrasound and Brain,24.069551467895508
66546,CMIC-111k/Ultrasound/Breast/benign__212_.png,Ultrasound and Breast,38.40733337402344,Fundus and Retina,7.037480354309082
66547,CMIC-111k/Ultrasound/Breast/normal__1_.png,Ultrasound and Breast,38.509864807128906,CT and Brain,12.500609397888184
66548,CMIC-111k/Ultrasound/Breast/malignant__146_.png,Ultrasound and Breast,36.757240295410156,Ultrasound and Brain,22.050926208496094
66549,CMIC-111k/Ultrasound/Breast/benign__284_.png,Ultrasound and Breast,29.33403778076172,Ultrasound and Brain,17.20212745666504
66550,CMIC-111k/Ultrasound/Breast/benign__53_.png,Ultrasound and Breast,35.044883728027344,Ultrasound and Carotid,29.88066291809082
66551,CMIC-111k/Ultrasound/Breast/benign__381_.png,Ultrasound and Breast,36.341148376464844,CT and Heart,16.362668991088867
66552,CMIC-111k/Ultrasound/Breast/normal__65_.png,Ultrasound and Breast,37.33122253417969,Ultrasound and Carotid,19.736692428588867
66553,CMIC-111k/Ultrasound/Breast/malignant__50_.png,Ultrasound and Breast,38.996315002441406,Endoscopy and Gastroent,10.276861190795898
66554,CMIC-111k/Ultrasound/Breast/malignant__30_.png,Ultrasound and Breast,39.154754638671875,Mamography and Breast,22.571285247802734
66555,CMIC-111k/Ultrasound/Breast/benign__73_.png,Ultrasound and Breast,30.69809341430664,Ultrasound and Brain,17.787302017211914
66556,CMIC-111k/Ultrasound/Breast/benign__217_.png,Ultrasound and Breast,33.19533157348633,Ultrasound and Carotid,25.479581832885742
66557,CMIC-111k/Ultrasound/Breast/benign__325_.png,Ultrasound and Breast,37.2811279296875,Ultrasound and Baby,22.020206451416016
66558,CMIC-111k/Ultrasound/Breast/benign__66_.png,Ultrasound and Breast,36.99444580078125,CT and Heart,16.972122192382812
66559,CMIC-111k/Ultrasound/Breast/benign__40_.png,Ultrasound and Breast,35.17292785644531,Xray and Chest,15.914754867553711
66560,CMIC-111k/Ultrasound/Breast/malignant__142_.png,Ultrasound and Breast,37.84466552734375,CT and Chest,19.35011100769043
66561,CMIC-111k/Ultrasound/Breast/normal__133_.png,Ultrasound and Breast,37.700416564941406,Xray and Chest,18.12173843383789
66562,CMIC-111k/Ultrasound/Breast/malignant__38_.png,Ultrasound and Breast,36.55140686035156,Endoscopy and Gastroent,11.179839134216309
66563,CMIC-111k/Ultrasound/Breast/normal__74_.png,Ultrasound and Breast,36.161048889160156,Ultrasound and Baby,24.348398208618164
66564,CMIC-111k/Ultrasound/Breast/benign__303_.png,Ultrasound and Breast,33.90806579589844,Dermoscopy and Skin,17.06902313232422
66565,CMIC-111k/Ultrasound/Breast/benign__237_.png,Ultrasound and Breast,30.012481689453125,Ultrasound and Ovary,29.030990600585938
66566,CMIC-111k/Ultrasound/Breast/malignant__85_.png,Ultrasound and Breast,32.92890548706055,Xray and Dental,0.2117617130279541
66567,CMIC-111k/Ultrasound/Breast/benign__369_.png,Ultrasound and Breast,35.366416931152344,OCT and Retina,15.776336669921875
66568,CMIC-111k/Ultrasound/Breast/benign__90_.png,Ultrasound and Breast,36.84296417236328,Endoscopy and Gastroent,12.203452110290527
66569,CMIC-111k/Ultrasound/Breast/normal__18_.png,Ultrasound and Breast,35.470733642578125,Ultrasound and Carotid,33.98392105102539
66570,CMIC-111k/Ultrasound/Breast/benign__175_.png,Ultrasound and Breast,32.943511962890625,Ultrasound and Carotid,25.604923248291016
66571,CMIC-111k/Ultrasound/Breast/normal__68_.png,Ultrasound and Breast,38.66810607910156,MRI and Brain,17.21872901916504
66572,CMIC-111k/Ultrasound/Breast/malignant__189_.png,Ultrasound and Breast,30.425445556640625,Ultrasound and Ovary,32.90545654296875
66573,CMIC-111k/Ultrasound/Breast/normal__120_.png,Ultrasound and Breast,37.46861267089844,CT and Brain,9.860431671142578
66574,CMIC-111k/Ultrasound/Breast/normal__132_.png,Ultrasound and Breast,36.944332122802734,Fundus and Retina,11.26697826385498
66575,CMIC-111k/Ultrasound/Breast/benign__10_.png,Ultrasound and Breast,35.415565490722656,Dermoscopy and Skin,12.383079528808594
66576,CMIC-111k/Ultrasound/Breast/malignant__14_.png,Ultrasound and Breast,34.590938568115234,Ultrasound and Baby,20.463043212890625
66577,CMIC-111k/Ultrasound/Breast/benign__267_.png,Ultrasound and Breast,28.726335525512695,Xray and Dental,-1.573325514793396
66578,CMIC-111k/Ultrasound/Breast/benign__232_.png,Ultrasound and Breast,30.682889938354492,Xray and Skeleton,1.2487109899520874
66579,CMIC-111k/Ultrasound/Breast/benign__26_.png,Ultrasound and Breast,32.168704986572266,Dermoscopy and Skin,11.683671951293945
66580,CMIC-111k/Ultrasound/Breast/malignant__119_.png,Ultrasound and Breast,33.65945816040039,Fundus and Retina,8.312162399291992
66581,CMIC-111k/Ultrasound/Breast/benign__338_.png,Ultrasound and Breast,35.17397689819336,Ultrasound and Baby,23.52965545654297
66582,CMIC-111k/Ultrasound/Breast/normal__78_.png,Ultrasound and Breast,36.92421340942383,CT and Chest,15.892585754394531
66583,CMIC-111k/Ultrasound/Breast/benign__375_.png,Ultrasound and Breast,35.38758850097656,Mamography and Breast,15.995172500610352
66584,CMIC-111k/Ultrasound/Breast/malignant__129_.png,Ultrasound and Breast,31.383480072021484,MRI and Alzheimer,11.267128944396973
66585,CMIC-111k/Ultrasound/Breast/malignant__149_.png,Ultrasound and Breast,35.41880798339844,MRI and Brain,12.315057754516602
66586,CMIC-111k/Ultrasound/Breast/benign__133_.png,Ultrasound and Breast,37.419273376464844,Xray and Dental,6.727686405181885
