id,file_name,original_attribute,origin_score,unmatch_attribute,unmatch_score
41817,CMIC-111k/CT/Brain/103__34_.jpg,CT and Brain,30.181270599365234,Ultrasound and Breast,25.18818473815918
41818,CMIC-111k/CT/Brain/69__13_.jpg,CT and Brain,26.509342193603516,Xray and Skeleton,22.443880081176758
41819,CMIC-111k/CT/Brain/100__23_.jpg,CT and Brain,28.58612823486328,Xray and Skeleton,22.656795501708984
41820,CMIC-111k/CT/Brain/105__30_.jpg,CT and Brain,24.871307373046875,Endoscopy and Gastroent,24.12796974182129
41821,CMIC-111k/CT/Brain/86__26_.jpg,CT and Brain,29.038463592529297,Xray and Dental,23.940170288085938
41822,CMIC-111k/CT/Brain/109__25_.jpg,CT and Brain,29.795007705688477,Xray and Dental,25.312158584594727
41823,CMIC-111k/CT/Brain/70__48_.jpg,CT and Brain,23.677104949951172,OCT and Retina,23.91570281982422
41824,CMIC-111k/CT/Brain/87__33_.jpg,CT and Brain,27.53666877746582,CT and Chest,25.9191951751709
41825,CMIC-111k/CT/Brain/130__7_.jpg,CT and Brain,26.702743530273438,Xray and Dental,22.032760620117188
41826,CMIC-111k/CT/Brain/76__2_.jpg,CT and Brain,25.73185920715332,Fundus and Retina,23.620128631591797
41827,CMIC-111k/CT/Brain/112__17_.jpg,CT and Brain,28.15176010131836,OCT and Retina,23.936500549316406
41828,CMIC-111k/CT/Brain/96__13_.jpg,CT and Brain,26.64010238647461,Ultrasound and Brain,24.4439697265625
41829,CMIC-111k/CT/Brain/103__29_.jpg,CT and Brain,28.88454818725586,Ultrasound and Brain,27.113502502441406
41830,CMIC-111k/CT/Brain/114__19_.jpg,CT and Brain,27.763099670410156,Ultrasound and Breast,20.384193420410156
41831,CMIC-111k/CT/Brain/66__1_.jpg,CT and Brain,24.394062042236328,Ultrasound and Brain,23.871356964111328
41832,CMIC-111k/CT/Brain/56__13_.jpg,CT and Brain,27.27385711669922,MRI and Brain,28.74972152709961
41833,CMIC-111k/CT/Brain/54__26_.jpg,CT and Brain,26.466962814331055,Ultrasound and Brain,25.584768295288086
41834,CMIC-111k/CT/Brain/126__25_.jpg,CT and Brain,28.497879028320312,Fundus and Retina,24.543567657470703
41835,CMIC-111k/CT/Brain/123__37_.jpg,CT and Brain,28.813135147094727,Ultrasound and Ovary,23.672107696533203
41836,CMIC-111k/CT/Brain/112__3_.jpg,CT and Brain,27.37228775024414,Xray and Skeleton,24.321765899658203
41837,CMIC-111k/CT/Brain/70__31_.jpg,CT and Brain,27.320987701416016,Xray and Dental,20.191383361816406
41838,CMIC-111k/CT/Brain/96__31_.jpg,CT and Brain,29.44942855834961,MRI and Brain,29.694931030273438
41839,CMIC-111k/CT/Brain/93__16_.jpg,CT and Brain,27.331716537475586,CT and Heart,24.387853622436523
41840,CMIC-111k/CT/Brain/88__34_.jpg,CT and Brain,26.844532012939453,Xray and Skeleton,22.418216705322266
41841,CMIC-111k/CT/Brain/63__13_.jpg,CT and Brain,26.576669692993164,CT and Chest,24.828460693359375
41842,CMIC-111k/CT/Brain/69__35_.jpg,CT and Brain,28.27448081970215,MRI and Alzheimer,29.601696014404297
41843,CMIC-111k/CT/Brain/60__6_.jpg,CT and Brain,26.814916610717773,Dermoscopy and Skin,20.242839813232422
41844,CMIC-111k/CT/Brain/103__16_.jpg,CT and Brain,26.444778442382812,CT and Heart,23.808761596679688
41845,CMIC-111k/CT/Brain/82__31_.jpg,CT and Brain,28.35869789123535,Dermoscopy and Skin,22.331340789794922
41846,CMIC-111k/CT/Brain/130__18_.jpg,CT and Brain,27.819820404052734,Ultrasound and Ovary,21.54560089111328
41847,CMIC-111k/CT/Brain/90__22_.jpg,CT and Brain,27.947961807250977,Xray and Chest,21.076671600341797
41848,CMIC-111k/CT/Brain/90__26_.jpg,CT and Brain,27.687374114990234,Ultrasound and Baby,20.398916244506836
41849,CMIC-111k/CT/Brain/116__25_.jpg,CT and Brain,28.782859802246094,Ultrasound and Breast,21.300472259521484
41850,CMIC-111k/CT/Brain/114__16_.jpg,CT and Brain,28.010454177856445,Ultrasound and Breast,20.325119018554688
