id,file_name,original_attribute,origin_score,unmatch_attribute,unmatch_score
36590,CMIC-111k/CT/Heart/Negative_159_Coronary_399_RCA_Secondary6_7.png,CT and Heart,22.978267669677734,CT and Brain,21.878101348876953
36591,CMIC-111k/CT/Heart/Positive_156_Coronary_630_RCA1_4.png,CT and Heart,22.5946044921875,Xray and Skeleton,23.611835479736328
36592,CMIC-111k/CT/Heart/Negative_Coronary_418_LAD1_1.png,CT and Heart,22.265256881713867,OCT and Retina,23.555221557617188
36593,CMIC-111k/CT/Heart/Positive_145_Coronary_467_CX_Secondary1_8.png,CT and Heart,22.845088958740234,Endoscopy and Gastroent,22.291168212890625
36594,CMIC-111k/CT/Heart/Negative_123_Coronary_397_CX1_13.png,CT and Heart,23.543596267700195,MRI and Alzheimer,24.700807571411133
36595,CMIC-111k/CT/Heart/Positive_236_Coronary_670_CX1_11.png,CT and Heart,22.68065643310547,Ultrasound and Breast,24.8173828125
36596,CMIC-111k/CT/Heart/Positive_140_Coronary_677_LAD1_15.png,CT and Heart,22.13399887084961,Xray and Chest,24.496692657470703
36597,CMIC-111k/CT/Heart/Negative_Coronary_120_RCA_Secondary5_1.png,CT and Heart,22.726299285888672,Ultrasound and Brain,25.15411949157715
36598,CMIC-111k/CT/Heart/Negative_128_Coronary_017_CX_Secondary1_7.png,CT and Heart,23.44439697265625,Endoscopy and Gastroent,23.544544219970703
36599,CMIC-111k/CT/Heart/Positive_255_Coronary_233_LAD_Secondary3_11.png,CT and Heart,21.821624755859375,Xray and Dental,23.624370574951172
36600,CMIC-111k/CT/Heart/Positive_255_Coronary_448_LAD1_1.png,CT and Heart,20.965030670166016,Ultrasound and Baby,21.465221405029297
36601,CMIC-111k/CT/Heart/Negative_171_Coronary_436_LAD_Secondary1_1.png,CT and Heart,22.07471466064453,MRI and Alzheimer,23.814083099365234
36602,CMIC-111k/CT/Heart/Negative_111_Coronary_055_RCA_Secondary2_13.png,CT and Heart,22.64226722717285,OCT and Retina,24.64126205444336
36603,CMIC-111k/CT/Heart/Negative_129_Coronary_206_LAD_Secondary2_13.png,CT and Heart,23.058990478515625,Endoscopy and Gastroent,22.069679260253906
36604,CMIC-111k/CT/Heart/Negative_164_Coronary_349_RCA_Secondary2_8.png,CT and Heart,22.60260772705078,Xray and Dental,25.33304786682129
36605,CMIC-111k/CT/Heart/Positive_169_Coronary_620_LAD1_11.png,CT and Heart,22.241357803344727,MRI and Brain,22.329504013061523
36606,CMIC-111k/CT/Heart/Negative_177_Coronary_381_LAD_Secondary12_11.png,CT and Heart,22.456871032714844,Ultrasound and Breast,25.19106674194336
36607,CMIC-111k/CT/Heart/Negative_156_Coronary_321_LAD_Secondary5_12.png,CT and Heart,22.34271240234375,Dermoscopy and Skin,22.404211044311523
36608,CMIC-111k/CT/Heart/Negative_129_Coronary_192_CX_Secondary1_1.png,CT and Heart,22.36170768737793,OCT and Retina,23.778226852416992
36609,CMIC-111k/CT/Heart/Positive_151_Coronary_165_CX1_10.png,CT and Heart,22.16824722290039,Ultrasound and Brain,24.34149742126465
36610,CMIC-111k/CT/Heart/Positive_255_Coronary_504_LAD_Secondary1_12.png,CT and Heart,22.212818145751953,Dermoscopy and Skin,22.87179946899414
36611,CMIC-111k/CT/Heart/Negative_Coronary_099_RCA1_1.png,CT and Heart,21.745391845703125,Mamography and Breast,21.067323684692383
36612,CMIC-111k/CT/Heart/Negative_145_Coronary_127_CX_Secondary8_13.png,CT and Heart,22.872085571289062,OCT and Retina,23.553451538085938
36613,CMIC-111k/CT/Heart/Negative_131_Coronary_340_CX_Secondary2_15.png,CT and Heart,23.490737915039062,Xray and Dental,25.517635345458984
36614,CMIC-111k/CT/Heart/Positive_152_Coronary_465_RCA1_19.png,CT and Heart,23.0037841796875,CT and Chest,23.785900115966797
36615,CMIC-111k/CT/Heart/Positive_255_Coronary_233_LAD1_17.png,CT and Heart,21.72269630432129,CT and Brain,21.703746795654297
36616,CMIC-111k/CT/Heart/Negative_Coronary_335_LAD_Secondary9_1.png,CT and Heart,23.620704650878906,MRI and Brain,22.2882080078125
36617,CMIC-111k/CT/Heart/Negative_168_Coronary_349_LAD1_8.png,CT and Heart,22.64544677734375,Ultrasound and Brain,23.52705192565918
36618,CMIC-111k/CT/Heart/Negative_156_Coronary_352_RCA_Secondary2_7.png,CT and Heart,22.478355407714844,Xray and Skeleton,23.335472106933594
36619,CMIC-111k/CT/Heart/Negative_134_Coronary_115_CX_Secondary5_1.png,CT and Heart,22.642745971679688,MRI and Brain,23.147686004638672
36620,CMIC-111k/CT/Heart/Negative_123_Coronary_422_RCA_Secondary4_1.png,CT and Heart,20.94070816040039,Fundus and Retina,21.73236846923828
36621,CMIC-111k/CT/Heart/Negative_Coronary_155_RCA_Secondary3_1.png,CT and Heart,21.560680389404297,Ultrasound and Breast,24.087614059448242
36622,CMIC-111k/CT/Heart/Positive_255_Coronary_212_LAD1_12.png,CT and Heart,21.29253387451172,MRI and Alzheimer,21.99156951904297
