id,file_name,original_attribute,origin_score,unmatch_attribute,unmatch_score
21253,CMIC-111k/Mamography/Breast/mdb290__23_.png,Mamography and Breast,28.188507080078125,Endoscopy and Gastroent,24.255878448486328
21254,CMIC-111k/Mamography/Breast/D1_C_0164_1.LEFT_CC.png,Mamography and Breast,31.768447875976562,Ultrasound and Breast,31.044246673583984
21255,CMIC-111k/Mamography/Breast/D3_A_1442_1.LEFT_MLO__3_.png,Mamography and Breast,33.0831298828125,Xray and Dental,23.105716705322266
21256,CMIC-111k/Mamography/Breast/D2_C_0270_1.RIGHT_CC.png,Mamography and Breast,31.71185874938965,MRI and Alzheimer,25.086009979248047
21257,CMIC-111k/Mamography/Breast/D2_A_1476_1.LEFT_CC__5_.png,Mamography and Breast,33.68251419067383,OCT and Retina,20.64789581298828
21258,CMIC-111k/Mamography/Breast/D2_C_0049_1.LEFT_CC__4_.png,Mamography and Breast,32.40948486328125,Xray and Skeleton,21.547096252441406
21259,CMIC-111k/Mamography/Breast/D2_A_1906_1.RIGHT_MLO__6_.png,Mamography and Breast,32.79308319091797,Ultrasound and Baby,25.573486328125
21260,CMIC-111k/Mamography/Breast/D1_C_0387_1.RIGHT_MLO__5_.png,Mamography and Breast,33.068572998046875,MRI and Alzheimer,23.959659576416016
21261,CMIC-111k/Mamography/Breast/D4_A_1445_1.LEFT_CC__4_.png,Mamography and Breast,32.37285614013672,Endoscopy and Gastroent,25.277387619018555
21262,CMIC-111k/Mamography/Breast/mdb013__43_.png,Mamography and Breast,31.566268920898438,Ultrasound and Baby,24.154502868652344
21263,CMIC-111k/Mamography/Breast/D2_B_3158_1.LEFT_CC__4_.png,Mamography and Breast,27.642688751220703,CT and Chest,23.692901611328125
21264,CMIC-111k/Mamography/Breast/mdb198__3_.png,Mamography and Breast,29.54595375061035,Ultrasound and Baby,27.981510162353516
21265,CMIC-111k/Mamography/Breast/mdb028__18_.png,Mamography and Breast,32.59857177734375,CT and Brain,22.88558578491211
21266,CMIC-111k/Mamography/Breast/D3_A_1251_1.LEFT_CC.png,Mamography and Breast,32.57838439941406,OCT and Retina,22.15650749206543
21267,CMIC-111k/Mamography/Breast/D3_A_1065_1.LEFT_MLO__5_.png,Mamography and Breast,33.08085632324219,CT and Chest,25.273935317993164
21268,CMIC-111k/Mamography/Breast/D1_B_3102_1.RIGHT_CC__5_.png,Mamography and Breast,33.422454833984375,CT and Chest,24.0107421875
21269,CMIC-111k/Mamography/Breast/D4_A_1388_1.RIGHT_MLO__4_.png,Mamography and Breast,32.13581085205078,CT and Chest,25.830684661865234
21270,CMIC-111k/Mamography/Breast/20587928__39_.png,Mamography and Breast,31.152847290039062,Ultrasound and Baby,27.856895446777344
21271,CMIC-111k/Mamography/Breast/mdb207__16_.png,Mamography and Breast,31.220481872558594,Ultrasound and Breast,31.213272094726562
21272,CMIC-111k/Mamography/Breast/D2_C_0074_1.RIGHT_MLO__4_.png,Mamography and Breast,32.28451156616211,Xray and Chest,27.563819885253906
21273,CMIC-111k/Mamography/Breast/53587014__63_.png,Mamography and Breast,30.656726837158203,Xray and Chest,26.18720245361328
21274,CMIC-111k/Mamography/Breast/mdb181__31_.png,Mamography and Breast,33.00782775878906,CT and Heart,21.806655883789062
21275,CMIC-111k/Mamography/Breast/30011507__66_.png,Mamography and Breast,28.478580474853516,CT and Brain,24.98904800415039
21276,CMIC-111k/Mamography/Breast/D3_B_3061_1.RIGHT_CC__5_.png,Mamography and Breast,32.3246955871582,Ultrasound and Baby,27.84495735168457
21277,CMIC-111k/Mamography/Breast/D4_C_0092_1.RIGHT_MLO.png,Mamography and Breast,29.33030891418457,Xray and Chest,27.021587371826172
21278,CMIC-111k/Mamography/Breast/22613702__65_.png,Mamography and Breast,29.397445678710938,Xray and Skeleton,24.841508865356445
21279,CMIC-111k/Mamography/Breast/mdb002__48_.png,Mamography and Breast,31.035846710205078,CT and Chest,26.00713539123535
21280,CMIC-111k/Mamography/Breast/D3_A_1587_1.LEFT_CC__3_.png,Mamography and Breast,27.389137268066406,Endoscopy and Gastroent,21.786258697509766
21281,CMIC-111k/Mamography/Breast/D1_A_1838_1.LEFT_CC__4_.png,Mamography and Breast,30.558704376220703,Xray and Skeleton,23.849727630615234
21282,CMIC-111k/Mamography/Breast/D3_A_1261_1.RIGHT_MLO__4_.png,Mamography and Breast,32.05927658081055,Xray and Dental,23.133190155029297
21283,CMIC-111k/Mamography/Breast/50994273__12_.png,Mamography and Breast,29.78898811340332,Ultrasound and Ovary,26.629638671875
21284,CMIC-111k/Mamography/Breast/mdb141__53_.png,Mamography and Breast,34.60521697998047,Ultrasound and Baby,27.631744384765625
21285,CMIC-111k/Mamography/Breast/22614568__27_.png,Mamography and Breast,32.28607177734375,Xray and Dental,24.13046646118164
21286,CMIC-111k/Mamography/Breast/24055355__10_.png,Mamography and Breast,27.923442840576172,CT and Brain,22.724063873291016
21287,CMIC-111k/Mamography/Breast/20588680__66_.png,Mamography and Breast,32.276641845703125,Xray and Chest,25.912813186645508
21288,CMIC-111k/Mamography/Breast/D2_C_0510_1.RIGHT_MLO__6_.png,Mamography and Breast,31.0162353515625,Ultrasound and Breast,30.91916275024414
21289,CMIC-111k/Mamography/Breast/D2_A_1435_1.RIGHT_MLO__3_.png,Mamography and Breast,32.41172790527344,MRI and Alzheimer,24.395973205566406
21290,CMIC-111k/Mamography/Breast/50994408__65_.png,Mamography and Breast,28.53219223022461,Ultrasound and Brain,27.798755645751953
21291,CMIC-111k/Mamography/Breast/22670511__65_.png,Mamography and Breast,32.62455749511719,CT and Heart,21.640329360961914
21292,CMIC-111k/Mamography/Breast/D2_A_1879_1.RIGHT_MLO__2_.png,Mamography and Breast,30.132591247558594,Xray and Skeleton,23.855449676513672
21293,CMIC-111k/Mamography/Breast/D2_B_3105_1.LEFT_MLO__3_.png,Mamography and Breast,33.42192077636719,OCT and Retina,20.780380249023438
21294,CMIC-111k/Mamography/Breast/D3_B_3073_1.RIGHT_CC__5_.png,Mamography and Breast,33.907920837402344,Ultrasound and Ovary,27.66114044189453
21295,CMIC-111k/Mamography/Breast/D3_B_3377_1.RIGHT_MLO__5_.png,Mamography and Breast,33.18717956542969,Ultrasound and Breast,32.153404235839844
21296,CMIC-111k/Mamography/Breast/D3_C_0064_1.RIGHT_CC__5_.png,Mamography and Breast,32.037620544433594,Ultrasound and Carotid,26.429302215576172
21297,CMIC-111k/Mamography/Breast/D2_B_3488_1.RIGHT_MLO__2_.png,Mamography and Breast,33.47336196899414,OCT and Retina,19.92318344116211
21298,CMIC-111k/Mamography/Breast/D2_B_3157_1.RIGHT_MLO__2_.png,Mamography and Breast,32.89352035522461,CT and Heart,22.396892547607422
21299,CMIC-111k/Mamography/Breast/22427705__44_.png,Mamography and Breast,33.2752799987793,Ultrasound and Baby,25.239473342895508
